n_drops,En,He,accuracy,f1_macro,precision_macro,recall_macro
50,10,2,0.549168245946515,0.5550399901233196,0.5870179038837686,0.549168245946515
50,10,5,0.5571699305116866,0.5635253877998466,0.588589072041911,0.5571699305116867
50,10,10,0.5572752158349126,0.5636544446951045,0.5847202216575237,0.5572752158349127
50,15,2,0.560223204885239,0.5667195755647388,0.5892478553382657,0.560223204885239
50,15,5,0.5600126342387871,0.5663626568256145,0.5861868700951972,0.5600126342387871
50,15,10,0.5539060854916824,0.5604607888143388,0.5834915922544116,0.5539060854916825
50,20,2,0.5580122130974942,0.5642015225975529,0.5812213346635681,0.5580122130974942
50,20,5,0.5556959359865234,0.5620313213228793,0.5809753247522306,0.5556959359865236
50,20,10,0.5505369551484524,0.5568386514197622,0.582950080686505,0.5505369551484524
100,10,2,0.5488523899768373,0.5548189658355214,0.5870384659799908,0.5488523899768372
100,10,5,0.5567487892187829,0.5631995857127374,0.5882009366358555,0.5567487892187829
100,10,10,0.5585386397136239,0.564916971067368,0.5863547455765555,0.5585386397136239
100,15,2,0.5596967782691092,0.5662151570469963,0.5889618214638875,0.5596967782691092
100,15,5,0.5574857864813645,0.5639970421921988,0.584188631514483,0.5574857864813645
100,15,10,0.5559065066329754,0.5622759225062974,0.5848108881829989,0.5559065066329754
100,20,2,0.5573805011581385,0.5635783566056884,0.5805509668847201,0.5573805011581386
100,20,5,0.5555906506632975,0.5618166852081047,0.5803835974444277,0.5555906506632975
100,20,10,0.5488523899768373,0.5551802194390155,0.581855139355684,0.5488523899768373
150,10,2,0.5506422404716782,0.556558516204105,0.588815348448993,0.5506422404716783
150,10,5,0.5567487892187829,0.5630375451328843,0.5874323349999813,0.5567487892187829
150,10,10,0.5561170772794273,0.5625492639610145,0.5842651647511313,0.5561170772794273
150,15,2,0.5595914929458834,0.5661022261740855,0.5883992554957878,0.5595914929458834
150,15,5,0.560328490208465,0.5667576551582076,0.5872348585694306,0.560328490208465
150,15,10,0.5543272267845862,0.5607231185242302,0.5824648345431027,0.5543272267845862
150,20,2,0.5575910718045904,0.5638513007608669,0.5810999321410106,0.5575910718045904
150,20,5,0.5550642240471678,0.5614334181621454,0.5805455738131036,0.5550642240471678
150,20,10,0.5486418193303854,0.5550121102870631,0.5812560267776465,0.5486418193303854
